From_SCATS,To_SCATS,Distance_km
0970,4264,6.967110339036436
4264,0970,6.967110339036436
0970,4264,6.923490752873292
4264,0970,6.923490752873292
0970,4264,6.933990278337941
4264,0970,6.933990278337941
0970,4264,6.993435599804697
4264,0970,6.993435599804697
0970,4266,14504.453939782847
4266,0970,14504.453939782847
0970,4266,6.2533498129183425
4266,0970,6.2533498129183425
0970,4266,6.267000859219952
4266,0970,6.267000859219952
0970,4266,6.3134188946230285
4266,0970,6.3134188946230285
0970,4270,6.625559074433515
4270,0970,6.625559074433515
0970,4270,6.5487130740336434
4270,0970,6.5487130740336434
0970,4270,6.544326202224357
4270,0970,6.544326202224357
0970,4270,6.647491002862707
4270,0970,6.647491002862707
0970,4272,5.5553170762702795
4272,0970,5.5553170762702795
0970,4272,5.565295086788814
4272,0970,5.565295086788814
0970,4272,5.59388621760561
4272,0970,5.59388621760561
0970,4273,4.79441302698389
4273,0970,4.79441302698389
0970,4273,4.665266425946429
4273,0970,4.665266425946429
0970,4321,8.23598796135625
4321,0970,8.23598796135625
0970,4321,8.221367823314456
4321,0970,8.221367823314456
0970,4321,8.233587442503302
4321,0970,8.233587442503302
0970,4321,8.283204469211396
4321,0970,8.283204469211396
0970,4324,7.995477305676172
4324,0970,7.995477305676172
0970,4324,7.998773800674688
4324,0970,7.998773800674688
0970,4324,8.049306036679651
4324,0970,8.049306036679651
0970,4335,8.377533796945078
4335,0970,8.377533796945078
0970,4335,8.374710262345644
4335,0970,8.374710262345644
0970,4812,7.870947556224947
4812,0970,7.870947556224947
0970,4812,7.889757651457313
4812,0970,7.889757651457313
0970,4812,7.984574231838073
4812,0970,7.984574231838073
0970,4821,9.469355690026378
4821,0970,9.469355690026378
0970,4821,9.45283478804691
4821,0970,9.45283478804691
0970,4821,9.453749097715269
4821,0970,9.453749097715269
0970,4821,9.474538019950854
4821,0970,9.474538019950854
0970,0970,0.05127282714920751
0970,0970,0.05127282714920751
0970,0970,0.08203968924070985
0970,0970,0.08203968924070985
0970,2000,1.7517060939796312
2000,0970,1.7517060939796312
0970,2000,1.7276970033612085
2000,0970,1.7276970033612085
0970,2000,1.6925914168052647
2000,0970,1.6925914168052647
0970,2000,1.7282829169868925
2000,0970,1.7282829169868925
0970,2200,5.691079670147033
2200,0970,5.691079670147033
0970,2200,5.666191254310287
2200,0970,5.666191254310287
0970,2200,5.633892431907374
2200,0970,5.633892431907374
0970,2200,5.669194097058016
2200,0970,5.669194097058016
0970,2820,9.69047179994389
2820,0970,9.69047179994389
0970,2820,9.718153420182684
2820,0970,9.718153420182684
0970,2825,9.340946870728152
2825,0970,9.340946870728152
0970,2827,9.678006633229385
2827,0970,9.678006633229385
0970,2827,9.544927694770044
2827,0970,9.544927694770044
0970,2827,9.487106844988114
2827,0970,9.487106844988114
0970,2827,9.645975019447759
2827,0970,9.645975019447759
0970,2846,3.0594815676983163
2846,0970,3.0594815676983163
0970,2846,3.0128279086678074
2846,0970,3.0128279086678074
0970,2846,3.09813166497983
2846,0970,3.09813166497983
0970,2846,3.120441163693179
2846,0970,3.120441163693179
0970,3001,8.483685427696177
3001,0970,8.483685427696177
0970,3001,8.450731260027895
3001,0970,8.450731260027895
0970,3001,8.476142349164475
3001,0970,8.476142349164475
0970,3001,8.52367368135146
3001,0970,8.52367368135146
0970,3002,8.183007412072682
3002,0970,8.183007412072682
0970,3002,8.131132113171875
3002,0970,8.131132113171875
0970,3002,8.145724113419984
3002,0970,8.145724113419984
0970,3002,8.200588957796237
3002,0970,8.200588957796237
0970,3120,5.822917725850786
3120,0970,5.822917725850786
0970,3120,5.7756436225292305
3120,0970,5.7756436225292305
0970,3120,5.7793936668235135
3120,0970,5.7793936668235135
0970,3120,5.827227103499253
3120,0970,5.827227103499253
0970,3122,5.398656860998649
3122,0970,5.398656860998649
