From_SCATS,To_SCATS,Distance_km,Estimated_Speed_kmh,Estimated_Travel_Time_Minutes,Traffic_Flow_Volume
3126.0,970.0,4.371151187593003,60,4.871151187593002,137.8309811827957
970.0,3126.0,4.402945274153407,60,4.902945274153407,147.26626016260164
3126.0,970.0,4.402945274153407,60,4.902945274153407,137.8309811827957
970.0,3127.0,4.809514205085519,60,5.309514205085519,147.26626016260164
3127.0,970.0,4.809514205085519,60,5.309514205085519,123.84375
970.0,3127.0,4.772450367017581,60,5.272450367017581,147.26626016260164
3127.0,970.0,4.772450367017581,60,5.272450367017581,123.84375
970.0,3127.0,4.796537984746587,60,5.296537984746587,147.26626016260164
3127.0,970.0,4.796537984746587,60,5.296537984746587,123.84375
970.0,3180.0,7.902074533643981,60,8.402074533643981,147.26626016260164
3180.0,970.0,7.902074533643981,60,8.402074533643981,77.1568100358423
